language,test_code,test_name,panel,direction,tier,title,what_it_means,diet_do,diet_dont,lifestyle,follow_up_test_codes,follow_up_weeks,severity,status
en,EOS,Eosinophils,Complete Blood Picture,HIGH,1,Eosinophils are above the reference range,Eosinophils are the white cells that rise with allergies and with some parasitic infections.,,,,,,STANDARD,DRAFT
en,MONO,Monocytes,Complete Blood Picture,HIGH,1,Monocytes are above the reference range,Monocytes are white cells that clear damaged cells and help with longer-running infections.,,,,,,STANDARD,DRAFT
en,ESR,ESR,Complete Blood Picture,HIGH,1,ESR is above the reference range,ESR is a general marker that rises when there is inflammation somewhere in the body.,,,,,,STANDARD,DRAFT
en,FBS,Fasting Blood Sugar,Blood Sugar,HIGH,2,Fasting blood sugar is above the reference range,"This is your blood sugar after an overnight fast, so it shows how your body handles sugar at rest.","Swap white rice for hand-pounded or brown rice, or mix in millets","Avoid sugary tea, coffee and bakery items",Aim for 30 minutes of activity on most days,"FBS,HBA1C",12,STANDARD,DRAFT
en,FBS,Fasting Blood Sugar,Blood Sugar,LOW,2,Fasting blood sugar is below the reference range,This is your blood sugar after an overnight fast; a low value can follow a long gap between meals.,Eat at regular intervals and carry a small snack,Avoid skipping meals,,FBS,4,STANDARD,DRAFT
en,PPBS,Post Prandial Blood Sugar,Blood Sugar,HIGH,2,Post-meal blood sugar is above the reference range,"This is your blood sugar about two hours after a meal, which shows how well your body clears sugar after eating.",Eat vegetables or dal before the rice portion of a meal,Avoid sweets and sweetened drinks,Take a 10-minute walk after each main meal,"PPBS,HBA1C",12,STANDARD,DRAFT
en,RBS,Random Blood Sugar,Blood Sugar,HIGH,1,Random blood sugar is above the reference range,"This is a blood sugar reading taken without fasting, so it varies with what you last ate.",,,,,,STANDARD,DRAFT
en,HBA1C,HbA1c,Blood Sugar,HIGH,2,Your three-month average sugar is above range,"HbA1c reflects your average blood sugar over roughly the last three months, so it is less affected by what you ate yesterday.",Eat vegetables or dal before the rice portion of a meal,"Avoid sweets, sweetened drinks and fruit juice",Aim for 30 minutes of activity on most days,HBA1C,12,STANDARD,DRAFT
en,TCHOL,Total Cholesterol,Lipid Profile,HIGH,2,Total cholesterol is above the recommended range,This is the sum of all the cholesterol carried in your blood.,"Add oats, whole dals and rajma; keep cooking oil to 3-4 teaspoons a day",Limit fried foods and bakery items,Aim for 30 minutes of brisk walking on most days,LIPID,12,STANDARD,DRAFT
en,LDL,LDL Cholesterol,Lipid Profile,HIGH,2,LDL cholesterol is above the recommended range,LDL is the cholesterol that can build up in the walls of your blood vessels over time.,"Add oats, whole dals and rajma; keep cooking oil to 3-4 teaspoons a day","Limit fried foods like samosas, pakoras and bakery items",Aim for 30 minutes of brisk walking on most days,LIPID,12,STANDARD,DRAFT
en,HDL,HDL Cholesterol,Lipid Profile,LOW,2,HDL cholesterol is below the recommended range,"HDL carries cholesterol away from your blood vessels, so a higher number is the better one here.","Include nuts, seeds and cold-pressed oils in small amounts",Avoid trans fats and vanaspati,Add 30 minutes of brisk activity on most days,LIPID,12,STANDARD,DRAFT
en,TRIG,Triglycerides,Lipid Profile,HIGH,2,Triglycerides are above the recommended range,"Triglycerides are the fats your body stores for energy; they rise with refined carbohydrates, sugar and alcohol.",Choose whole grains and millets over white rice and maida,Limit alcohol and sweetened drinks,Walk for 10 minutes after each main meal,LIPID,12,STANDARD,DRAFT
en,VLDL,VLDL Cholesterol,Lipid Profile,HIGH,1,VLDL cholesterol is above the recommended range,"VLDL is the particle that carries triglycerides in your blood, so it tends to rise along with them.",,,,,,STANDARD,DRAFT
en,CHOLHDL,Cholesterol / HDL Ratio,Lipid Profile,HIGH,1,Cholesterol to HDL ratio is above the recommended range,This ratio compares your total cholesterol with the protective HDL fraction.,,,,,,STANDARD,DRAFT
en,ALT,SGPT / ALT,Liver Function Test,HIGH,2,SGPT / ALT is above the reference range,ALT is an enzyme released by liver cells and is one of the standard measures of how the liver is doing.,Choose home-cooked meals and cut down on fried and processed food,Avoid alcohol until your doctor advises otherwise,Aim for gradual weight reduction if your doctor advises it,LFT,24,STANDARD,DRAFT
en,AST,SGOT / AST,Liver Function Test,HIGH,2,SGOT / AST is above the reference range,"AST is an enzyme found in the liver and also in muscle, so it is read alongside ALT.",Choose home-cooked meals and cut down on fried and processed food,Avoid alcohol until your doctor advises otherwise,,LFT,24,STANDARD,DRAFT
en,ALP,Alkaline Phosphatase,Liver Function Test,HIGH,1,Alkaline phosphatase is above the reference range,ALP is an enzyme that comes mainly from the liver and from bone.,,,,,,STANDARD,DRAFT
en,GGT,GGT,Liver Function Test,HIGH,2,GGT is above the reference range,GGT is a liver enzyme that is particularly sensitive to alcohol and to some medicines.,,Avoid alcohol until your doctor advises otherwise,,LFT,24,STANDARD,DRAFT
en,TBIL,Bilirubin (Total),Liver Function Test,HIGH,1,Total bilirubin is above the reference range,Bilirubin is a pigment your liver clears from the blood after old red cells break down.,,,,,,STANDARD,DRAFT
en,DBIL,Bilirubin (Direct),Liver Function Test,HIGH,1,Direct bilirubin is above the reference range,Direct bilirubin is the fraction of bilirubin your liver has already processed.,,,,,,STANDARD,DRAFT
en,TPROT,Total Protein,Liver Function Test,LOW,1,Total protein is below the reference range,Total protein is the combined measure of albumin and globulin in your blood.,,,,,,STANDARD,DRAFT
en,ALB,Albumin,Liver Function Test,LOW,1,Albumin is below the reference range,Albumin is the main protein your liver makes; it helps hold fluid inside your blood vessels.,,,,,,STANDARD,DRAFT
en,GLOB,Globulin,Liver Function Test,HIGH,1,Globulin is above the reference range,Globulins are the blood proteins involved in immunity and in transporting substances around the body.,,,,,,STANDARD,DRAFT
en,AGRATIO,A/G Ratio,Liver Function Test,LOW,1,Albumin to globulin ratio is below the reference range,This ratio compares the two main groups of protein in your blood.,,,,,,STANDARD,DRAFT
en,CREAT,Creatinine,Kidney Function Test,HIGH,2,Creatinine is above the reference range,Creatinine is a waste product from muscle that your kidneys filter out of the blood.,Drink water steadily through the day,Avoid over-the-counter painkillers unless your doctor has prescribed them,,"CREAT,EGFR",8,STANDARD,DRAFT
en,UREA,Blood Urea,Kidney Function Test,HIGH,1,Blood urea is above the reference range,Urea is a waste product from protein that your kidneys clear from the blood.,,,,,,STANDARD,DRAFT
en,BUN,BUN,Kidney Function Test,HIGH,1,BUN is above the reference range,BUN is another way of reporting the urea that your kidneys clear.,,,,,,STANDARD,DRAFT
en,URIC,Uric Acid,Kidney Function Test,HIGH,2,Uric acid is above the reference range,Uric acid is a waste product your kidneys clear; over time a high level can settle in joints.,Drink more water through the day,"Cut down on organ meats, red meat, shellfish and beer",,URIC,12,STANDARD,DRAFT
en,EGFR,eGFR,Kidney Function Test,LOW,1,eGFR is below the reference range,eGFR is an estimate of how well your kidneys are filtering your blood.,,,,,,STANDARD,DRAFT
en,NA,Sodium,Kidney Function Test,LOW,1,Sodium is below the reference range,Sodium is one of the salts that keeps the fluid balance in your body steady.,,,,,,STANDARD,DRAFT
en,NA,Sodium,Kidney Function Test,HIGH,1,Sodium is above the reference range,Sodium is one of the salts that keeps the fluid balance in your body steady.,,,,,,STANDARD,DRAFT
en,K,Potassium,Kidney Function Test,LOW,1,Potassium is below the reference range,Potassium is a salt that matters for how your muscles and heart rhythm work.,,,,,,STANDARD,DRAFT
en,K,Potassium,Kidney Function Test,HIGH,1,Potassium is above the reference range,Potassium is a salt that matters for how your muscles and heart rhythm work.,,,,,,STANDARD,DRAFT
en,CL,Chloride,Kidney Function Test,LOW,1,Chloride is below the reference range,Chloride works alongside sodium to keep your body's fluid balance steady.,,,,,,STANDARD,DRAFT
en,CL,Chloride,Kidney Function Test,HIGH,1,Chloride is above the reference range,Chloride works alongside sodium to keep your body's fluid balance steady.,,,,,,STANDARD,DRAFT
en,CA,Calcium,Kidney Function Test,LOW,2,Calcium is below the reference range,"Calcium matters for your bones, your muscles and the way your nerves send signals.","Include milk, curd, ragi and green leafy vegetables",,"Get some morning sunlight, which helps your body use calcium","CA,VITD",12,STANDARD,DRAFT
en,CA,Calcium,Kidney Function Test,HIGH,2,Calcium is above the reference range,"Calcium matters for your bones, muscles and nerve signals; a raised level is worth a closer look.",Drink water regularly through the day,Avoid calcium or vitamin D supplements unless they were prescribed,,CA,8,STANDARD,DRAFT
en,TSH,TSH,Thyroid Profile,HIGH,2,TSH is above the reference range,TSH is the signal your brain sends to your thyroid gland; it rises when the gland is working harder than usual.,,,,"TSH,FT4",6,STANDARD,DRAFT
en,TSH,TSH,Thyroid Profile,LOW,2,TSH is below the reference range,TSH is the signal your brain sends to your thyroid gland; it falls when the gland is producing more hormone than usual.,,,,"TSH,FT4",6,STANDARD,DRAFT
en,T3,T3 (Total),Thyroid Profile,LOW,1,T3 is below the reference range,T3 is one of the two main thyroid hormones that set the pace of your metabolism.,,,,,,STANDARD,DRAFT
en,T3,T3 (Total),Thyroid Profile,HIGH,1,T3 is above the reference range,T3 is one of the two main thyroid hormones that set the pace of your metabolism.,,,,,,STANDARD,DRAFT
en,T4,T4 (Total),Thyroid Profile,LOW,1,T4 is below the reference range,"T4 is the main hormone your thyroid releases, which your body converts into the active form.",,,,,,STANDARD,DRAFT
en,T4,T4 (Total),Thyroid Profile,HIGH,1,T4 is above the reference range,"T4 is the main hormone your thyroid releases, which your body converts into the active form.",,,,,,STANDARD,DRAFT
en,FT3,Free T3,Thyroid Profile,LOW,1,Free T3 is below the reference range,Free T3 is the portion of T3 circulating in your blood that is available for your body to use.,,,,,,STANDARD,DRAFT
en,FT3,Free T3,Thyroid Profile,HIGH,1,Free T3 is above the reference range,Free T3 is the portion of T3 circulating in your blood that is available for your body to use.,,,,,,STANDARD,DRAFT
en,FT4,Free T4,Thyroid Profile,LOW,1,Free T4 is below the reference range,Free T4 is the portion of T4 in your blood that is available for your body to use.,,,,,,STANDARD,DRAFT
en,FT4,Free T4,Thyroid Profile,HIGH,1,Free T4 is above the reference range,Free T4 is the portion of T4 in your blood that is available for your body to use.,,,,,,STANDARD,DRAFT
en,VITD,Vitamin D (25-OH),Vitamins,LOW,2,Vitamin D is below the reference range,Vitamin D helps your body absorb calcium and keeps bones and muscles working well.,"Add fortified milk, eggs and mushrooms",Do not start a vitamin D supplement on your own without advice,Get 15-20 minutes of morning sunlight on your arms and face most days,VITD,12,STANDARD,DRAFT
en,VITD,Vitamin D (25-OH),Vitamins,HIGH,2,Vitamin D is above the reference range,Vitamin D is usually high because of supplements rather than food or sunlight.,,Do not continue a vitamin D supplement without checking with your doctor,,VITD,12,STANDARD,DRAFT
en,VITB12,Vitamin B12,Vitamins,LOW,2,Vitamin B12 is below the reference range,B12 is needed to make healthy red blood cells and to keep your nerves working well.,"Include milk, curd, paneer, eggs, fish or meat if you eat them",,,VITB12,12,STANDARD,DRAFT
en,VITB12,Vitamin B12,Vitamins,HIGH,2,Vitamin B12 is above the reference range,A high B12 is most often the result of supplements or injections rather than diet.,,Mention any B12 supplement or injection to your doctor,,,,STANDARD,DRAFT
en,FOLATE,Folate,Vitamins,LOW,2,Folate is below the reference range,Folate works together with vitamin B12 to make healthy red blood cells.,"Include dark green leafy vegetables, dals and citrus fruit",,,FOLATE,12,STANDARD,DRAFT
en,IRON,Serum Iron,Iron Profile,LOW,2,Serum iron is below the reference range,Serum iron is the iron circulating in your blood at the moment the sample was taken.,"Include ragi, dates, jaggery, beans and lentils; add lemon or amla to meals",Avoid tea and coffee with meals,,FERRITIN,12,STANDARD,DRAFT
en,IRON,Serum Iron,Iron Profile,HIGH,2,Serum iron is above the reference range,Serum iron is the iron circulating in your blood at the moment the sample was taken.,,Avoid iron supplements unless they were prescribed,,FERRITIN,12,STANDARD,DRAFT
en,FERRITIN,Ferritin,Iron Profile,LOW,2,Ferritin is below the reference range,"Ferritin reflects the iron your body has in store, so it falls before haemoglobin does.","Include ragi, dates, jaggery, beans and lentils; add lemon or amla to meals",Avoid tea and coffee with meals,,"FERRITIN,CBC",12,STANDARD,DRAFT
en,FERRITIN,Ferritin,Iron Profile,HIGH,2,Ferritin is above the reference range,"Ferritin reflects your stored iron, but it also rises when there is inflammation in the body.",,Avoid iron supplements unless they were prescribed,,FERRITIN,12,STANDARD,DRAFT
en,TIBC,TIBC,Iron Profile,HIGH,1,TIBC is above the reference range,"TIBC measures how much more iron your blood could carry, and it rises when stores are low.",,,,,,STANDARD,DRAFT
en,TIBC,TIBC,Iron Profile,LOW,1,TIBC is below the reference range,TIBC measures how much more iron your blood could carry.,,,,,,STANDARD,DRAFT
en,TSAT,Transferrin Saturation,Iron Profile,LOW,1,Transferrin saturation is below the reference range,This is the share of your blood's iron-carrying capacity that is actually filled.,,,,,,STANDARD,DRAFT
en,CRP,CRP,Inflammation,HIGH,1,CRP is above the reference range,CRP is a general marker that rises when there is inflammation somewhere in the body.,,,,,,STANDARD,DRAFT
en,PSA,PSA (Total),Hormones,HIGH,1,PSA is above the reference range,PSA is a protein made by the prostate gland; the level rises for several reasons and needs a doctor's interpretation.,,,,,,STANDARD,DRAFT
en,TESTO,Testosterone (Total),Hormones,LOW,1,Total testosterone is below the reference range,Testosterone is the main male sex hormone and also affects muscle mass and energy levels.,,,,,,STANDARD,DRAFT
